"Id";"timestamp";"deviceId";"address";"valueInt";"time_id"
2758567;2026-03-04 04:35:04.980;131109;81;34;3246036
2757811;2026-03-04 04:35:04.686;131108;81;38;3246036
2758553;2026-03-04 04:30:04.860;131109;81;37;3246031
2758169;2026-03-04 04:30:04.860;131109;81;37;3246031
2757790;2026-03-04 04:30:04.570;131108;81;38;3246031
2758137;2026-03-04 04:25:04.893;131109;81;36;3246026
2758521;2026-03-04 04:25:04.893;131109;81;36;3246026
2757759;2026-03-04 04:25:04.633;131108;81;38;3246026
2758489;2026-03-04 04:20:05.086;131109;81;36;3246021
2758105;2026-03-04 04:20:05.086;131109;81;36;3246021
2757728;2026-03-04 04:20:04.776;131108;81;38;3246021
2758073;2026-03-04 04:15:05.313;131109;81;35;3246016
2758457;2026-03-04 04:15:05.313;131109;81;35;3246016
2757697;2026-03-04 04:15:04.653;131108;81;38;3246016
2758425;2026-03-04 04:10:04.836;131109;81;34;3246011
2758041;2026-03-04 04:10:04.836;131109;81;34;3246011
2757666;2026-03-04 04:10:04.360;131108;81;38;3246011
2758009;2026-03-04 04:05:05.070;131109;81;37;3246006
2758393;2026-03-04 04:05:05.070;131109;81;37;3246006
2757635;2026-03-04 04:05:04.780;131108;81;38;3246006
2757977;2026-03-04 04:00:04.816;131109;81;36;3246001
2758361;2026-03-04 04:00:04.816;131109;81;36;3246001
2757604;2026-03-04 04:00:04.563;131108;81;38;3246001
2757548;2026-03-04 03:55:04.873;131109;81;36;3245996
2757164;2026-03-04 03:55:04.873;131109;81;36;3245996
2756780;2026-03-04 03:55:04.560;131108;81;40;3245996
2757132;2026-03-04 03:50:04.926;131109;81;34;3245991
2757516;2026-03-04 03:50:04.926;131109;81;34;3245991
2756749;2026-03-04 03:50:04.696;131108;81;37;3245991
2757484;2026-03-04 03:45:05.000;131109;81;37;3245986
2757100;2026-03-04 03:45:05.000;131109;81;37;3245986
2756718;2026-03-04 03:45:04.753;131108;81;38;3245986
2757068;2026-03-04 03:40:04.986;131109;81;36;3245981
2757452;2026-03-04 03:40:04.986;131109;81;36;3245981
2756687;2026-03-04 03:40:04.720;131108;81;39;3245981
2757018;2026-03-04 03:35:04.723;131109;81;35;3245976
2757402;2026-03-04 03:35:04.723;131109;81;35;3245976
2756646;2026-03-04 03:35:04.443;131108;81;39;3245976
2757388;2026-03-04 03:30:04.736;131109;81;34;3245971
2757004;2026-03-04 03:30:04.736;131109;81;34;3245971
2756625;2026-03-04 03:30:04.510;131108;81;38;3245971
2756972;2026-03-04 03:25:04.806;131109;81;36;3245966
2757356;2026-03-04 03:25:04.806;131109;81;36;3245966
2756594;2026-03-04 03:25:04.556;131108;81;39;3245966
2757324;2026-03-04 03:20:05.016;131109;81;37;3245961
2756940;2026-03-04 03:20:05.016;131109;81;37;3245961
2756563;2026-03-04 03:20:04.613;131108;81;38;3245961
2756908;2026-03-04 03:15:04.906;131109;81;37;3245956
2757292;2026-03-04 03:15:04.906;131109;81;37;3245956
2756532;2026-03-04 03:15:04.646;131108;81;35;3245956
2756876;2026-03-04 03:10:04.866;131109;81;38;3245951
2757260;2026-03-04 03:10:04.866;131109;81;38;3245951
2756501;2026-03-04 03:10:04.603;131108;81;35;3245951
2756844;2026-03-04 03:05:04.853;131109;81;39;3245946
2757228;2026-03-04 03:05:04.853;131109;81;39;3245946
2756470;2026-03-04 03:05:04.616;131108;81;37;3245946
2756812;2026-03-04 03:00:04.660;131109;81;37;3245941
2757196;2026-03-04 03:00:04.660;131109;81;37;3245941
2756439;2026-03-04 03:00:04.420;131108;81;36;3245941
2755999;2026-03-04 02:55:04.886;131109;81;38;3245936
2756383;2026-03-04 02:55:04.886;131109;81;38;3245936
2755615;2026-03-04 02:55:04.646;131108;81;35;3245936
2756351;2026-03-04 02:50:04.683;131109;81;38;3245931
2755967;2026-03-04 02:50:04.683;131109;81;38;3245931
2755584;2026-03-04 02:50:04.430;131108;81;34;3245931
2755935;2026-03-04 02:45:04.746;131109;81;38;3245926
2756319;2026-03-04 02:45:04.746;131109;81;38;3245926
2755553;2026-03-04 02:45:04.503;131108;81;37;3245926
2756287;2026-03-04 02:40:04.863;131109;81;38;3245921
2755903;2026-03-04 02:40:04.863;131109;81;38;3245921
2755522;2026-03-04 02:40:04.603;131108;81;36;3245921
2755853;2026-03-04 02:35:04.766;131109;81;38;3245916
2756237;2026-03-04 02:35:04.766;131109;81;38;3245916
2755481;2026-03-04 02:35:04.496;131108;81;35;3245916
2755839;2026-03-04 02:30:04.880;131109;81;38;3245911
2756223;2026-03-04 02:30:04.880;131109;81;38;3245911
2755460;2026-03-04 02:30:04.616;131108;81;35;3245911
2755807;2026-03-04 02:25:04.986;131109;81;39;3245906
2756191;2026-03-04 02:25:04.986;131109;81;39;3245906
2755429;2026-03-04 02:25:04.586;131108;81;38;3245906
2755775;2026-03-04 02:20:04.690;131109;81;38;3245901
2756159;2026-03-04 02:20:04.690;131109;81;38;3245901
2755398;2026-03-04 02:20:04.446;131108;81;38;3245901
2755743;2026-03-04 02:15:04.933;131109;81;39;3245896
2756127;2026-03-04 02:15:04.933;131109;81;39;3245896
